赤壁賦,,壬戌,之秋，七月既望，,宋神宗，元豐五年，蘇軾謫居黃州的第三年。,
赤壁賦,壬戌之秋，七月,既望,，蘇子與客泛舟遊於赤壁之下。,農曆每月十六日。,
赤壁賦,壬戌之秋，七月,既,望，蘇子與客泛舟遊於赤壁之下。,已，猶言已過。,
赤壁賦,壬戌之秋，七月既,望,，蘇子與客泛舟遊於赤壁之下。,農曆每月十五日。,
赤壁賦,舉酒,屬客,，誦明月之詩，歌窈窕之章。,勸客飲酒。,
赤壁賦,舉酒,屬,客，誦明月之詩，歌窈窕之章。,音ㄓㄨˇ，勸請之意。,
赤壁賦,不興。舉酒屬客，,誦明月之詩，歌窈窕之章,,吟誦《詩經》陳風月出篇首章:月出皎兮，佼人僚兮，舒窈糾兮，勞心悄兮。(皎，月明的樣子。佼人，美人。僚，美好的樣子。窈糾，形容步履舒緩，體態優美。勞心，憂心，形容思念之苦。悄，憂愁。)東坡據首句而以明月名篇。窈窕之章，指月出首章，窈糾與窈窕、音義相近，故稱。,
赤壁賦,,少焉,，月出於東山之上，徘徊於斗牛之間。,不久。,
赤壁賦,少焉，月出於東山之上，徘徊於,斗牛,之間。,星宿名，為二十八星宿中的斗宿與牛宿。此處泛指星斗。,
赤壁賦,,縱一葦之所如,，凌萬頃之茫然。,任憑小舟順水飄流。,
赤壁賦,,縱,一葦之所如，凌萬頃之茫然。,任憑。,
赤壁賦,縱,一葦,之所如，凌萬頃之茫然。,借指小舟。,
赤壁賦,縱一,葦,之所如，凌萬頃之茫然。,蘆葦。,
赤壁賦,縱一葦之所,如,，凌萬頃之茫然。,往。,
赤壁賦,縱一葦之所如，,凌萬頃之茫然,。,越過空闊無邊的水面。,
赤壁賦,縱一葦之所如，,凌,萬頃之茫然。,音ㄌㄧㄥˊ，越過。,
赤壁賦,縱一葦之所如，凌萬頃之,茫然,。,水面空闊的樣子。,
赤壁賦,,浩浩乎如馮虛御風,，而不知其所止；,在廣闊的天空中乘風飛行。,
赤壁賦,,浩浩,乎如馮虛御風，而不知其所止；,廣大無邊的樣子。,
赤壁賦,浩浩乎如,馮,虛御風，而不知其所止；,通「憑」，音ㄆㄧㄥˊ，依恃。,
赤壁賦,浩浩乎如馮,虛,御風，而不知其所止；,天空。,
赤壁賦,浩浩乎如馮虛,御,風，而不知其所止；,駕、乘。,
赤壁賦,飄飄乎如,遺世獨立,，羽化而登仙。,遠離塵世，超然特立。,
赤壁賦,飄飄乎如遺世獨立，,羽化而登仙,。,身生羽翼，飛升成仙。,
赤壁賦,飄飄乎如遺世獨立，,羽化,而登仙。,道教稱人成仙為羽化。,
赤壁賦,於是飲酒樂甚，,扣舷,而歌之。,敲擊船邊。,
赤壁賦,歌曰：,桂棹兮蘭槳,，擊空明兮泝流光；,桂木做的棹，木蘭做的槳。桂木、木蘭均為香木。,
赤壁賦,歌曰：桂,棹,兮蘭槳，擊空明兮泝流光；,音ㄓㄠˋ，船槳    ,
赤壁賦,歌曰：桂棹兮蘭槳，,擊空明兮泝流光,；,拍打映照於江面上的月影，在流動的波光中逆流而行。,
赤壁賦,歌曰：桂棹兮蘭槳，擊,空明,兮泝流光；,倒映在水面上的月影。,
赤壁賦,。歌曰：桂棹兮蘭槳，擊空明兮,泝,流光；,音ㄙㄨˋ，通「溯」，逆流而上。,
赤壁賦,歌曰：桂棹兮蘭槳，擊空明兮泝,流光,；,指水面上閃動的月光。,
赤壁賦,,渺渺,兮予懷，望美人兮天一方。,音ㄇㄧㄠˇ，悠遠的樣子。,
赤壁賦,渺渺兮予懷，望,美人,兮天一方。,借指思慕的人。,
赤壁賦,如泣、如訴。餘音,嫋嫋,，不絕如縷，,形容簫聲婉轉悠長。,
赤壁賦,如泣、如訴。餘音,嫋,嫋，不絕如縷，,音ㄋㄧㄠˇ。,
赤壁賦,如訴。餘音嫋嫋，,不絕如縷,，舞幽壑之潛蛟，,聲音細微悠長，如絲線般不斷絕。,
赤壁賦,餘音嫋嫋，不,絕,如縷，舞幽壑之潛蛟，泣孤舟之嫠婦。,斷。,
赤壁賦,。餘音嫋嫋，不絕如縷，,舞幽壑之潛蛟,，泣孤舟之嫠婦。,泣孤舟之嫠婦：使深谷中沉潛的蛟龍起舞，使孤舟中哀戚的寡婦落淚。二句形容簫聲動人至極。,
赤壁賦,，不絕如縷，舞幽壑之潛蛟，泣孤舟之,嫠,婦。,音ㄌㄧˊ，寡婦。,
赤壁賦,。蘇子,愀然,，正襟危坐，而問客曰：何為其然也？,神色改變的樣子。,
赤壁賦,蘇子,愀,然，正襟危坐，而問客曰：何為其然也？,音ㄑㄧㄠˇ。,
赤壁賦,蘇子愀然，,正襟危坐,，而問客曰：何為其然也？,整理衣襟，直身端坐。形容嚴肅的樣子。,
赤壁賦,蘇子愀然，正襟,危,坐，而問客曰：何為其然也？,端正。,
赤壁賦,蘇子愀然，正襟危坐，而問客曰：,何為其然,也？,為什麼簫聲會如此悲涼呢？,
赤壁賦,蘇子愀,然,，正襟危坐，而問客曰：何為其然也？,如此,
赤壁賦,客曰：『月明星稀，烏鵲南飛』，此非,曹孟德之詩,乎？,指曹操《短歌行》:「月明星稀，鳥鵲南飛。繞樹三匝(ㄗ丫)，何枝可依？」,
赤壁賦,客曰：『月明星稀，烏,鵲,南飛』，此非曹孟德之詩乎？,音ㄑㄩㄝˋ，動物名。形似烏鴉，叫聲吵雜，古時以鵲噪為喜兆，故稱為「喜鵲」,
赤壁賦,西望,夏口,，東望武昌，山川相繆，鬱乎蒼蒼，此非孟德之困於周郎者乎？,古城名，在今湖北武漢。,
赤壁賦,西望夏口，東望,武昌,，山川相繆，鬱乎蒼蒼，此非孟德之困於周郎者乎？,古郡名，今湖北鄂州。,
赤壁賦,西望夏口，東望武昌，山川相,繆,，鬱乎蒼蒼，此非孟德之困於周郎者乎？,通「繚」，音ㄌㄧㄠˊ，纏繞、連接。,
赤壁賦,西望夏口，東望武昌，山川相繆，,鬱乎蒼蒼,，此非孟德之困於周郎者乎？,形容草木茂盛而蒼翠。,
赤壁賦,西望夏口，東望武昌，山川相繆，,鬱,乎蒼蒼，此非孟德之困於周郎者乎？,茂盛。,
赤壁賦,西望夏口，東望武昌，山川相繆，鬱乎,蒼蒼,，此非孟德之困於周郎者乎？,深青色。,
