出師表,臣亮言：,先帝,創業未半，而,指劉備。,
出師表,臣亮言：,先,帝創業未半，而,稱已故之尊長,
出師表,先帝創業未半，而,中道崩殂,。今天下,半途逝世。指劉備即帝位三年後病逝。,
出師表,創業未半，而中道,崩,殂。今天下三分,古代帝王之死曰崩。,
出師表,殂。今天下三分，,益州,疲弊，此誠危,蜀漢國土的主要部分，此借指蜀漢。,
出師表,今天下三分，益州,疲弊,，此誠危急存,困乏。,
出師表,三分，益州疲弊，,此誠危急存亡之秋,,這實在是生死存亡的緊要關頭。,
出師表,分，益州疲弊，此,誠,危急存亡之秋也,實在。,
出師表,臣亮言：,先帝,創業未半，而中道崩殂。,指劉備。,
出師表,臣亮言：,先,帝創業未半，而中道崩殂。,稱已故之尊長,
出師表,先帝創業未半，而,中道崩殂,。今天下三分,半途逝世。指劉備即帝位三年後病逝。,
出師表,臣亮言：先帝創業未半，而中道,崩,殂。,古代帝王之死曰崩。,
出師表,臣亮言：先帝創業未半，而中道崩,殂,。,音ㄘㄨˊ，死。,
出師表,今天下三分，,益州疲弊,，此誠危急存亡之秋也。,蜀漢財力、人力困乏。,
出師表,今天下三分，,益州,疲弊，此誠危急存亡之秋也。,蜀漢國土的主要部分，此借指蜀漢。,
出師表,今天下三分，益州,疲弊,，此誠危急存亡之秋也。,困乏。,
出師表,今天下三分，益州疲弊，,此誠危急存亡之秋,也,這實在是生死存亡的緊要關頭。,
出師表,今天下三分，益州疲弊，此,誠,危急存亡之秋也。,實在。,
出師表,今天下三分，益州疲弊，此誠危急存亡之,秋,也。,時候、關頭。,
出師表,然侍衛之臣，不懈於,內,,指宮廷。,
出師表,忠志之士，,忘身於外,者，蓋追先帝之殊遇，,不顧自身安危，在外竭力為國效命。,
出師表,忠志之士，忘身於,外,者，蓋追先帝之殊遇,指丞相府。 ,
出師表,蓋追先帝之,殊遇,，欲報之於陛下也。,特殊的待遇。多指帝王的恩寵，信任。,
出師表,誠宜,開張聖聽,，以光先帝遺德，恢宏志士之氣,擴大天子的見聞，意指廣聽起群臣意見。,
出師表,誠宜,開張,聖聽，以光先帝遺德，恢宏志士之氣,擴大。,
出師表,誠宜開張,聖,聽，以光先帝遺德，恢宏志士之氣,尊稱天子。,
出師表,誠宜開張聖聽，以光先帝遺德，,恢宏,志士之氣,擴大、發揚。,
出師表,不宜,妄自菲薄,，引喻失義，以塞忠諫之路也。,隨意看輕自己。,
出師表,不宜,妄,自菲薄，引喻失義，以塞忠諫之路也。,隨意。,
出師表,不宜妄自,菲薄,，引喻失義，以塞忠諫之路也。,輕視。,
出師表,不宜妄自,菲,薄，引喻失義，以塞忠諫之路也。,ㄈㄟˇ，微薄。,
出師表,不宜妄自菲薄，,引喻失義,，以塞忠諫之路也。,援引例證不恰當。引用公孫述、劉璋等曾據益州的失敗例子，做為蜀漢不能灰復中原的例證。,
出師表,不宜妄自菲薄，引喻,失義,，以塞忠諫之路也。,偏離正確的意義。,
出師表,不宜妄自菲薄，引喻失,義,，以塞忠諫之路也。,公正合宜的道理。,
